"prov";"parado_11";"parado_16";"parado_21";"parado_26";"parado_31";"parado_36";"parado_41";"parado_46"
27;0.079189360960469;0.0840396162713585;0.0598843641353524;0.0643951920208461;0.0392039342643739;0.0399742011514835;0.000904241376282663;0.000841878984478243
28;0.0979204685258667;0.111503085451905;0.0735997134631834;0.0857832287882969;0.0513371716695024;0.0548409052008432;0.00135183261964696;0.00121914170360808
29;0.153383076888638;0.162815576329984;0.120384055254092;0.132583383010021;0.0750322516218985;0.0716847811837617;0.00159568749384029;0.00126335771728338
30;0.113784406419582;0.142268411058745;0.0868057918213038;0.115044855999927;0.0578996360316054;0.0623083427960457;0.00139243171513579;0.00109913718796546
31;0.0890822512850967;0.0909031098033143;0.0676807777313689;0.0705885879660831;0.0442271496844991;0.0421450169626788;0.001051452736328;0.000838830838144959
32;0.0866088995539411;0.096046172640837;0.066300873338481;0.0754349881982466;0.0418958042340715;0.0436648407738799;0.0008887759072859;0.000845220357063242
33;0.106536031526139;0.116435312011871;0.0828019229802235;0.091758925723284;0.0502505996862802;0.0528997971871473;0.00102252985829576;0.00101383477368941
34;0.101823656682426;0.0974226556758044;0.0771575360262506;0.0759012135469551;0.0507631176808835;0.0453583477249061;0.0011560606818865;0.000901578792697097
35;0.186198594444337;0.169052581477297;0.15077644141556;0.138000538525336;0.0861839273916385;0.0744265297732843;0.00162465589935729;0.00130091436530465
36;0.104842631481638;0.127067102247813;0.0807953494440859;0.101497870637157;0.0508971932357845;0.0568518154203367;0.0011077887731948;0.00104470593038616
37;0.108698690179568;0.149074330998465;0.0843727519120053;0.118223260971318;0.0518513421522977;0.0694902864077684;0.00107000302761175;0.00136323656092457
38;0.158814489032701;0.166704188350915;0.126058458240745;0.135030796950984;0.0755370614199983;0.0748661334064217;0.00151032524960128;0.00135067387583734
39;0.0957378811585063;0.104798307878935;0.0733290913760182;0.0824058740430573;0.046888744025822;0.0474037813416827;0.00103135074424494;0.000894355703881341
40;0.0925573122812537;0.0905130322124841;0.0691671088899999;0.0698910877459128;0.0492717480105119;0.0421383920006898;0.00130071191790437;0.00094520812422426
41;0.164971538084388;0.1797430583128;0.129408311973472;0.147312669756098;0.0821729468320263;0.0794711809649211;0.00181175295514282;0.00139475565743311
42;0.0792204062780677;0.0868546160345797;0.0591240894065234;0.0659614904872113;0.0403894392174321;0.0422916395914066;0.00108537851665523;0.00093287939347649
43;0.118201795015013;0.127280881980914;0.090104687821129;0.100364832473366;0.060568211360391;0.059287907439935;0.00146250765128037;0.00117271184298137
44;0.0869673504936587;0.106514307055374;0.0668036728826194;0.0830958588561766;0.0419342850369837;0.0484442544963078;0.000894109184442212;0.000925904184853093
45;0.0959240778016468;0.165426987032972;0.0724358986618457;0.133996650545788;0.0495242265292348;0.0745944260549678;0.00125525939100658;0.00136086508484426
46;0.106638581042282;0.120135200470415;0.0819049960378083;0.0943207075840246;0.052441689227219;0.055865959765775;0.00116534187361921;0.00109714028438234
47;0.097762171483841;0.102237155071286;0.0736502479788338;0.0794726175667658;0.0503477248272851;0.047799677205387;0.00126054019654365;0.000950719783061015
48;0.100285629082461;0.0987281756522125;0.0768056855263088;0.0770031639835662;0.0493338911592991;0.0456035700146151;0.00110401853250379;0.000897749355062317
49;0.09072745222199;0.123065178342435;0.0687663471877959;0.097225344092948;0.0464389764902756;0.0557208844903984;0.00112534578739213;0.0010391294828764
50;0.0862888509639852;0.117941669298157;0.0653096889751313;0.0921597447540533;0.0432554439159417;0.0553169703008561;0.00102162975445287;0.00111052922952326
